agl_thermal_conductivity_300K,agl_debye_temperature,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K
0.661256,162.888,9.43997,8.87934,8.76698e-05
0.666088,187.915,61.0305,58.8925,4.60719e-05
0.664691,278.97,120.248,115.201,6.32376e-05
0.668,118.956,12.6923,11.9146,8.83898e-05
0.667731,132.005,12.5802,11.8941,7.02782e-05
0.668953,235.86,30.4507,26.3128,0.000191947
0.670013,179.063,49.6408,47.2084,8.92442e-05
0.672,191.987,38.0423,35.3422,0.000102381
0.67367,179.924,28.9985,26.5737,0.000130476
0.673723,289.93,96.8528,91.8965,7.38767e-05
0.675193,224.974,64.8632,61.3788,8.45529e-05
0.680796,178.926,24.7404,23.6033,6.26416e-05
0.680199,118.047,9.24169,8.93406,5.3274e-05
0.680234,384.276,159.785,150.073,7.90105e-05
0.681359,156.064,19.1398,17.7823,8.78175e-05
0.681979,148.991,36.8299,35.5826,4.88726e-05
0.682923,128.98,25.2867,23.7995,9.72191e-05
0.683607,140.004,15.3911,14.847,4.99371e-05
0.683075,228.049,120.448,116.734,4.62964e-05
0.681778,150.028,42.8913,41.5001,5.5843e-05
0.684308,125.881,6.6766,5.95534,0.000150147
0.68807,160.017,27.7844,26.6412,7.02889e-05
0.689099,230.026,120.461,116.681,4.69058e-05
0.691022,233.823,38.3059,35.0415,0.000128647
0.697583,138.07,19.6985,17.8364,0.000136814
0.698853,126.031,12.3655,11.9006,6.08797e-05
0.699057,155.003,10.0799,8.90036,0.000190976
0.701915,229.013,83.3116,81.6618,3.27543e-05
0.700096,143.902,16.994,14.8584,0.000213117
0.700572,214.996,29.9683,29.2659,4.47743e-05
0.701977,160.958,55.6076,53.2735,7.18695e-05
0.703444,155.04,25.6362,23.7148,0.000108038
0.705425,233.808,13.2348,11.6934,0.000216004
0.706267,119.031,10.0488,8.94034,0.000185792
0.706833,267.133,80.1721,75.2065,0.000110334
0.707075,173.891,38.8334,35.4688,0.000127038
0.708398,201.93,37.0552,35.247,7.77671e-05
0.711793,276.894,48.4284,43.3553,0.000168832
0.709135,112.967,6.34175,5.96171,9.4524e-05
0.709824,194.004,42.7037,41.1739,5.17569e-05
0.709978,272.995,42.1279,40.3872,6.3816e-05
0.709178,177.02,18.8907,17.7176,9.26091e-05
0.710497,176.012,36.5356,35.4124,4.91773e-05
0.709273,174.054,28.9584,26.601,0.000117005
0.713241,139.014,25.5901,23.7719,0.00012401
0.713518,147.015,12.1511,11.8612,3.7179e-05
0.713634,220.596,22.2026,14.7398,0.000335159
0.716809,156.977,19.3671,17.7835,0.000123621
0.717868,153.044,12.1639,11.8502,4.16944e-05
0.71891,150.04,16.1836,14.835,0.000132885
0.719919,138.976,42.4851,41.5643,4.06587e-05
0.720041,145.079,13.2929,11.8814,0.000177442
0.721909,149.055,43.449,41.5196,7.79366e-05
0.722232,140.938,37.4046,35.6308,8.61603e-05
0.725975,138.01,7.58508,5.9541,0.000321961
0.727708,162.169,13.2416,11.8515,0.000126876
0.727987,283.97,72.1399,69.024,6.55637e-05
0.731344,570.475,286.234,263.94,0.000153244
0.729145,169.977,60.9264,59.0894,4.56182e-05
0.729845,148.017,48.5587,47.4403,4.34993e-05
0.735383,180.006,35.8296,35.3667,2.21529e-05
0.735965,194.143,28.4511,26.4941,0.000107299
0.737325,219.118,67.9936,64.3839,7.97154e-05
0.738377,216.061,30.9307,29.2876,7.90767e-05
0.739656,183.986,30.4186,29.4687,5.03178e-05
0.739083,265.66,30.1202,26.1171,0.000188276
0.741124,187.006,22.9251,20.6501,0.000148479
0.740106,218.843,29.0072,26.3722,0.000133212
0.746642,236.999,120.623,116.498,4.83595e-05
0.748666,259.094,48.5663,46.3495,6.86585e-05
0.751483,155.007,15.598,14.8166,7.26111e-05
0.752026,207.159,38.2668,35.2439,0.000109103
0.753663,186.964,16.016,14.7418,0.000107673
0.75412,166.126,16.8647,14.8093,0.000172541
0.755693,189.968,61.5602,58.884,6.00976e-05
0.757921,227.073,26.3438,23.4153,0.000186709
0.756325,266.937,55.3652,52.0629,8.9419e-05
0.756436,258.824,37.6893,34.8042,0.000115607
0.757328,210.042,29.085,26.425,0.000136838
0.755904,153.914,9.72356,8.89472,0.000111437
0.761895,112.044,6.46156,5.96356,0.000126278
0.771831,150.069,12.3332,11.8584,5.23091e-05
0.771023,176.935,28.8776,26.5839,0.000132905
0.77122,357.986,152.377,145.833,6.46065e-05
0.771848,167.8,17.001,14.806,0.000213121
0.7736,153.875,13.0521,11.8628,0.000153941
0.774422,195.056,16.3301,14.7277,0.000200712
0.776737,168.079,37.5401,35.4828,8.89308e-05
0.777386,107.019,6.16416,5.96394,5.20236e-05
0.777561,192.893,16.0752,14.7282,0.000121938
0.779799,238.958,28.8045,26.2496,0.000130719
0.780206,161.975,60.77,59.1654,4.6263e-05
0.780249,295.83,85.2519,80.2858,9.73936e-05
0.769993,175.961,73.213,70.8347,6.02281e-05
0.782585,192.961,36.667,35.3016,5.28615e-05
0.785296,134.126,7.20258,5.95404,0.000278824
0.788067,164.032,28.5195,26.6362,9.31488e-05
0.788096,146.024,48.5463,47.4553,4.1727e-05
0.786549,187.839,28.7392,26.5277,0.000118639
0.78966,162.068,27.7149,26.6322,5.65902e-05
0.796646,143.845,13.6415,11.8876,0.000221742
0.801232,202.972,33.7726,32.297,6.14322e-05
0.801525,154.975,48.7628,47.3871,4.81316e-05
0.803793,193.08,37.2667,35.3201,7.89226e-05
0.804685,222.979,50.721,46.8206,0.000113599
0.807029,169.948,27.8073,26.5968,7.50177e-05
0.80759,176.947,30.3876,29.5013,3.90443e-05
0.808911,176.989,36.8555,35.416,5.60862e-05
0.812962,153.993,37.5177,35.5639,9.17685e-05
0.814373,153.04,60.3661,59.2441,3.06914e-05
0.811707,209.058,60.3956,58.6188,4.11261e-05
0.812257,169.979,24.2574,23.6313,3.33584e-05
0.817897,183.974,43.6899,41.2803,8.24044e-05
0.797667,196.046,28.7051,26.4864,0.000112591
0.8184,198.005,36.4715,35.2658,5.41294e-05
0.819197,116.995,12.4047,11.914,6.83435e-05
0.824151,268.954,86.2603,83.7201,4.18798e-05
0.818226,233.916,28.0488,26.2576,9.8698e-05
0.821277,128.05,12.5776,11.9005,7.28986e-05
0.822055,223.946,49.466,46.7765,8.75878e-05
0.823044,150.185,13.5361,11.876,0.000193988
0.824537,185.013,36.75,35.3595,5.52132e-05
